zone_id,x_centro,y_centro,x_min,x_max,y_min,y_max,band,floor_min,floor_max,creatura,num_spawn,total_amount
Z001,33214,32627,33150,33300,32550,32700,under,8,15,larva,205,490
Z001,33214,32627,33150,33300,32550,32700,under,8,15,scarab,138,240
Z001,33214,32627,33150,33300,32550,32700,under,8,15,mummy,38,85
Z001,33214,32627,33150,33300,32550,32700,under,8,15,demon-skeleton,30,67
Z001,33214,32627,33150,33300,32550,32700,under,8,15,ghoul,28,70
Z001,33214,32627,33150,33300,32550,32700,under,8,15,skeleton,28,75
Z001,33214,32627,33150,33300,32550,32700,under,8,15,ghost,27,71
Z001,33214,32627,33150,33300,32550,32700,under,8,15,vampire,27,44
Z001,33214,32627,33150,33300,32550,32700,under,8,15,crypt-shambler,15,32
Z001,33214,32627,33150,33300,32550,32700,under,8,15,gargoyle,13,33
Z001,33214,32627,33150,33300,32550,32700,under,8,15,stone-golem,13,33
Z001,33214,32627,33150,33300,32550,32700,under,8,15,snake,11,32
Z001,33214,32627,33150,33300,32550,32700,under,8,15,stalker,11,28
Z001,33214,32627,33150,33300,32550,32700,under,8,15,banshee,10,16
Z001,33214,32627,33150,33300,32550,32700,under,8,15,bonebeast,8,8
Z001,33214,32627,33150,33300,32550,32700,under,8,15,shredderthrower,8,8
Z001,33214,32627,33150,33300,32550,32700,under,8,15,necromancer,7,15
Z001,33214,32627,33150,33300,32550,32700,under,8,15,scorpion,6,13
Z001,33214,32627,33150,33300,32550,32700,under,8,15,slime,6,11
Z001,33214,32627,33150,33300,32550,32700,under,8,15,cobra,5,10
Z001,33214,32627,33150,33300,32550,32700,under,8,15,beholder,4,7
Z001,33214,32627,33150,33300,32550,32700,under,8,15,deathslicer,4,4
Z001,33214,32627,33150,33300,32550,32700,under,8,15,behemoth,3,4
Z001,33214,32627,33150,33300,32550,32700,under,8,15,lich,3,3
Z001,33214,32627,33150,33300,32550,32700,under,8,15,ancient-scarab,2,3
Z001,33214,32627,33150,33300,32550,32700,under,8,15,amazon,1,1
Z001,33214,32627,33150,33300,32550,32700,under,8,15,dwarf,1,1
Z001,33214,32627,33150,33300,32550,32700,under,8,15,elf,1,1
Z001,33214,32627,33150,33300,32550,32700,under,8,15,fire-elemental,1,1
Z001,33214,32627,33150,33300,32550,32700,under,8,15,hyaena,1,2
Z001,33214,32627,33150,33300,32550,32700,under,8,15,morguthis,1,1
Z001,33214,32627,33150,33300,32550,32700,under,8,15,poison-spider,1,4
Z002,33225,32774,33150,33300,32700,32850,under,8,15,larva,120,318
Z002,33225,32774,33150,33300,32700,32850,under,8,15,scarab,81,154
Z002,33225,32774,33150,33300,32700,32850,under,8,15,ghoul,29,71
Z002,33225,32774,33150,33300,32700,32850,under,8,15,mummy,29,73
Z002,33225,32774,33150,33300,32700,32850,under,8,15,skeleton,21,57
Z002,33225,32774,33150,33300,32700,32850,under,8,15,crypt-shambler,18,44
Z002,33225,32774,33150,33300,32700,32850,under,8,15,demon-skeleton,18,35
Z002,33225,32774,33150,33300,32700,32850,under,8,15,vampire,11,18
Z002,33225,32774,33150,33300,32700,32850,under,8,15,ghost,10,19
Z002,33225,32774,33150,33300,32700,32850,under,8,15,ancient-scarab,9,15
Z002,33225,32774,33150,33300,32700,32850,under,8,15,cave-rat,8,27
Z002,33225,32774,33150,33300,32700,32850,under,8,15,fire-elemental,8,21
Z002,33225,32774,33150,33300,32700,32850,under,8,15,poison-spider,8,28
Z002,33225,32774,33150,33300,32700,32850,under,8,15,flamethrower,7,7
Z002,33225,32774,33150,33300,32700,32850,under,8,15,green-djinn,6,9
Z002,33225,32774,33150,33300,32700,32850,under,8,15,slime,5,11
Z002,33225,32774,33150,33300,32700,32850,under,8,15,scorpion,4,7
